tuoi_full,nam_sinh,tuoi,mang_nam,mang_nu,tam_tai,thai_tue
Giáp Thân,1944,81,S. La Hầu - H. Tam Kheo,S. Kế Đô - H. Thiên Tinh,,Phá Thái Tuế
Ất Dậu,1945,80,S. Mộc Đức - H. Huỳnh Tuyền,S. Thủy Diệu - H. Toán Tận,,
Bính Tuất,1946,79,S. Thái Âm - H. Diêm Vương,S. Thái Bạch - H. Thiên La,,
Đinh Hợi,1947,78,S. Kế Đô - H. Diêm Vương,S. Thái Dương - H. Thiên La,TAM TAI,Xung Thái Tuế
Mậu Tý,1948,77,S. Vân Hớn - H. Địa Võng,S. La Hầu - H. Địa Võng,,
Kỷ Sửu,1949,76,S. Thái Dương - H. Thiên La,S. Thổ Tú - H. Diêm Vương,,
Canh Dần,1950,75,S. Thái Bạch - H. Toán Tận,S. Thái Âm - H. Huỳnh Tuyền,,Hại Thái Tuế
Tân Mão,1951,74,S. Thủy Diệu - H. Thiên Tinh,S. Mộc Đức - H. Tam Kheo,TAM TAI,
Nhâm Thìn,1952,73,S. Thổ Tú - H. Ngũ Mộ,S. Vân Hớn - H. Ngũ Mộ,,
Quý Tỵ,1953,72,S. La Hầu - H. Tam Kheo,S. Kế Đô - H. Thiên Tinh,,Trực Thái Tuế
Giáp Ngọ,1954,71,S. Mộc Đức - H. Huỳnh Tuyền,S. Thủy Diệu - H. Toán Tận,,
Ất Mùi,1955,70,S. Thái Âm - H. Diêm Vương,S. Thái Bạch - H. Thiên La,TAM TAI,
Bính Thân,1956,69,S. Kế Đô - H. Địa Võng,S. Thái Dương - H. Địa Võng,,Phá Thái Tuế
Đinh Dậu,1957,68,S. Vân Hớn - H. Địa Võng,S. La Hầu - H. Địa Võng,,
Mậu Tuất,1958,67,S. Thái Dương - H. Thiên La,S. Thổ Tú - H. Diêm Vương,,
Kỷ Hợi,1959,66,S. Thái Bạch - H. Toán Tận,S. Thái Âm - H. Huỳnh Tuyền,TAM TAI,Xung Thái Tuế
Canh Tý,1960,65,S. Thủy Diệu - H. Thiên Tinh,S. Mộc Đức - H. Tam Kheo,,
Tân Sửu,1961,64,S. Thổ Tú - H. Ngũ Mộ,S. Vân Hớn - H. Ngũ Mộ,,
Nhâm Dần,1962,63,S. La Hầu - H. Tam Kheo,S. Kế Đô - H. Thiên Tinh,,Hại Thái Tuế
Quý Mão,1963,62,S. Mộc Đức - H. Huỳnh Tuyền,S. Thủy Diệu - H. Toán Tận,TAM TAI,
Giáp Thìn,1964,61,S. Thái Âm - H. Diêm Vương,S. Thái Bạch - H. Thiên La,,
Ất Tỵ,1965,60,S. Kế Đô - H. Địa Võng,S. Thái Dương - H. Địa Võng,,Trực Thái Tuế
Bính Ngọ,1966,59,S. Vân Hớn - H. Thiên La,S. La Hầu - H. Diêm Vương,,
Đinh Mùi,1967,58,S. Thái Dương - H. Thiên La,S. Thổ Tú - H. Diêm Vương,TAM TAI,
Mậu Thân,1968,57,S. Thái Bạch - H. Toán Tận,S. Thái Âm - H. Huỳnh Tuyền,,Phá Thái Tuế
Kỷ Dậu,1969,56,S. Thủy Diệu - H. Thiên Tinh,S. Mộc Đức - H. Tam Kheo,,
Canh Tuất,1970,55,S. Thổ Tú - H. Ngũ Mộ,S. Vân Hớn - H. Ngũ Mộ,,
Tân Hợi,1971,54,S. La Hầu - H. Tam Kheo,S. Kế Đô - H. Thiên Tinh,TAM TAI,Xung Thái Tuế
Nhâm Tý,1972,53,S. Mộc Đức - H. Huỳnh Tuyền,S. Thủy Diệu - H. Toán Tận,,
Quý Sửu,1973,52,S. Thái Âm - H. Diêm Vương,S. Thái Bạch - H. Thiên La,,
Giáp Dần,1974,51,S. Kế Đô - H. Địa Võng,S. Thái Dương - H. Địa Võng,,Hại Thái Tuế
Ất Mão,1975,50,S. Vân Hớn - H. Thiên La,S. La Hầu - H. Diêm Vương,TAM TAI,
Bính Thìn,1976,49,S. Thái Dương - H. Toán Tận,S. Thổ Tú - H. Huỳnh Tuyền,,
Đinh Tỵ,1977,48,S. Thái Bạch - H. Toán Tận,S. Thái Âm - H. Huỳnh Tuyền,,Trực Thái Tuế
Mậu Ngọ,1978,47,S. Thủy Diệu - H. Thiên Tinh,S. Mộc Đức - H. Tam Kheo,,
Kỷ Mùi,1979,46,S. Thổ Tú - H. Ngũ Mộ,S. Vân Hớn - H. Ngũ Mộ,TAM TAI,
Canh Thân,1980,45,S. La Hầu - H. Tam Kheo,S. Kế Đô - H. Thiên Tinh,,Phá Thái Tuế
Tân Dậu,1981,44,S. Mộc Đức - H. Huỳnh Tuyền,S. Thủy Diệu - H. Toán Tận,,
Nhâm Tuất,1982,43,S. Thái Âm - H. Diêm Vương,S. Thái Bạch - H. Thiên La,,
Quý Hợi,1983,42,S. Kế Đô - H. Địa Võng,S. Thái Dương - H. Địa Võng,TAM TAI,Xung Thái Tuế
Giáp Tý,1984,41,S. Vân Hớn - H. Thiên La,S. La Hầu - H. Diêm Vương,,
Ất Sửu,1985,40,S. Thái Dương - H. Toán Tận,S. Thổ Tú - H. Huỳnh Tuyền,,
Bính Dần,1986,39,S. Thái Bạch - H. Thiên Tinh,S. Thái Âm - H. Tam Kheo,,Hại Thái Tuế
Đinh Mão,1987,38,S. Thủy Diệu - H. Thiên Tinh,S. Mộc Đức - H. Tam Kheo,TAM TAI,
Mậu Thìn,1988,37,S. Thổ Tú - H. Ngũ Mộ,S. Vân Hớn - H. Ngũ Mộ,,
Kỷ Tỵ,1989,36,S. La Hầu - H. Tam Kheo,S. Kế Đô - H. Thiên Tinh,,Trực Thái Tuế
Canh Ngọ,1990,35,S. Mộc Đức - H. Huỳnh Tuyền,S. Thủy Diệu - H. Toán Tận,,
Tân Mùi,1991,34,S. Thái Âm - H. Diêm Vương,S. Thái Bạch - H. Thiên La,TAM TAI,
Nhâm Thân,1992,33,S. Kế Đô - H. Địa Võng,S. Thái Dương - H. Địa Võng,,Phá Thái Tuế
Quý Dậu,1993,32,S. Vân Hớn - H. Thiên La,S. La Hầu - H. Diêm Vương,,
Giáp Tuất,1994,31,S. Thái Dương - H. Toán Tận,S. Thổ Tú - H. Huỳnh Tuyền,,
Ất Hợi,1995,30,S. Thái Bạch - H. Thiên Tinh,S. Thái Âm - H. Tam Kheo,TAM TAI,Xung Thái Tuế
Bính Tý,1996,29,S. Thủy Diệu - H. Ngũ Mộ,S. Mộc Đức - H. Ngũ Mộ,,
Đinh Sửu,1997,28,S. Thổ Tú - H. Ngũ Mộ,S. Vân Hớn - H. Ngũ Mộ,,
Mậu Dần,1998,27,S. La Hầu - H. Tam Kheo,S. Kế Đô - H. Thiên Tinh,,Hại Thái Tuế
Kỷ Mão,1999,26,S. Mộc Đức - H. Huỳnh Tuyền,S. Thủy Diệu - H. Toán Tận,TAM TAI,
Canh Thìn,2000,25,S. Thái Âm - H. Diêm Vương,S. Thái Bạch - H. Thiên La,,
Tân Tỵ,2001,24,S. Kế Đô - H. Địa Võng,S. Thái Dương - H. Địa Võng,,Trực Thái Tuế
Nhâm Ngọ,2002,23,S. Vân Hớn - H. Thiên La,S. La Hầu - H. Diêm Vương,,
Quý Mùi,2003,22,S. Thái Dương - H. Toán Tận,S. Thổ Tú - H. Huỳnh Tuyền,TAM TAI,
Giáp Thân,2004,21,S. Thái Bạch - H. Thiên Tinh,S. Thái Âm - H. Tam Kheo,,Phá Thái Tuế
Ất Dậu,2005,20,S. Thủy Diệu - H. Ngũ Mộ,S. Mộc Đức - H. Ngũ Mộ,,
Bính Tuất,2006,19,S. Thổ Tú - H. Tam Kheo,S. Vân Hớn - H. Thiên Tinh,,
Đinh Hợi,2007,18,S. La Hầu - H. Tam Kheo,S. Kế Đô - H. Thiên Tinh,TAM TAI,Xung Thái Tuế
Mậu Tý,2008,17,S. Mộc Đức - H. Huỳnh Tuyền,S. Thủy Diệu - H. Toán Tận,,
Kỷ Sửu,2009,16,S. Thái Âm - H. Diêm Vương,S. Thái Bạch - H. Thiên La,,
Canh Dần,2010,15,S. Kế Đô - H. Địa Võng,S. Thái Dương - H. Địa Võng,,Hại Thái Tuế
Tân Mão,2011,14,S. Vân Hớn - H. Thiên La,S. La Hầu - H. Diêm Vương,TAM TAI,
Nhâm Thìn,2012,13,S. Thái Dương - H. Toán Tận,S. Thổ Tú - H. Huỳnh Tuyền,,
Quý Tỵ,2013,12,S. Thái Bạch - H. Thiên Tinh,S. Thái Âm - H. Tam Kheo,,Trực Thái Tuế
Giáp Ngọ,2014,11,S. Thủy Diệu - H. Ngũ Mộ,S. Mộc Đức - H. Ngũ Mộ,,
,,,,,,